city_code_,city,county,county_code,population,NDVI_mean,LST_mean,AOD_mean
ALA-001,ALAMEDA,ALAMEDA,ALA,213124,1.64E-06,6724839.9,39399.35325
ALA-002,ALBANY,ALAMEDA,ALA,80621,4.06E-06,1972311.286,10948.74611
ALA-003,BERKELEY,ALAMEDA,ALA,212005,1.83E-06,6148007.771,29159.92286
ALA-004,DUBLIN,ALAMEDA,ALA,113451,2.61E-06,4305899.993,18421.58502
ALA-005,EMERYVILLE,ALAMEDA,ALA,197192,1.78E-06,5153624.465,33174.2674
ALA-006,FREMONT,ALAMEDA,ALA,352371,8.88E-07,12242487.33,57221.75115
ALA-007,HAYWARD,ALAMEDA,ALA,408849,8.35E-07,13193342.57,63516.07365
ALA-008,LIVERMORE,ALAMEDA,ALA,104410,2.86E-06,4189968.427,16941.95688
ALA-009,NEWARK,ALAMEDA,ALA,163307,1.65E-06,5409663.644,31288.86313
ALA-010,OAKLAND,ALAMEDA,ALA,626802,5.78E-07,20340363.74,90796.65731
ALA-011,PIEDMONT,ALAMEDA,ALA,152858,3.24E-06,5063532.888,22466.62295
ALA-012,PLEASANTON,ALAMEDA,ALA,96662,4.20E-06,3508330.844,13512.08055
ALA-013,SAN LEANDRO,ALAMEDA,ALA,215175,1.23E-06,8148369.857,35545.86597
ALA-014,UNION CITY,ALAMEDA,ALA,180372,2.11E-06,6104779.16,26138.92493
CC-001,ANTIOCH,CONTRA COSTA,CC,144783,1.82E-06,5896221.34,22653.54072
CC-002,BRENTWOOD,CONTRA COSTA,CC,126812,2.53E-06,5370414.99,19254.81426
CC-003,CLAYTON,CONTRA COSTA,CC,17045,2.06E-05,656383.4186,2621.014559
CC-004,CONCORD,CONTRA COSTA,CC,221324,1.41E-06,8481149.032,34130.61396
CC-005,DANVILLE,CONTRA COSTA,CC,130514,3.14E-06,4913949.187,15883.41872
CC-006,EL CERRITO,CONTRA COSTA,CC,118503,3.51E-06,3661868.385,13643.46583
CC-007,HERCULES,CONTRA COSTA,CC,63096,5.31E-06,2084151.592,8652.563706
CC-008,LAFAYETTE,CONTRA COSTA,CC,98804,5.15E-06,3453816.881,11644.61646
CC-009,MARTINEZ,CONTRA COSTA,CC,84515,4.26E-06,2906059.107,11955.52089
CC-010,MORAGA,CONTRA COSTA,CC,34862,1.30E-05,1179640.934,3905.735932
CC-011,OAKLEY,CONTRA COSTA,CC,84750,3.96E-06,3048535.306,11493.5933
CC-012,ORINDA,CONTRA COSTA,CC,37009,1.51E-05,1213299.386,4200.652364
CC-013,PINOLE,CONTRA COSTA,CC,96422,3.90E-06,3114933.427,14250.20401
CC-014,PITTSBURG,CONTRA COSTA,CC,127535,2.11E-06,4793631.476,18494.94179
CC-015,PLEASANT HILL,CONTRA COSTA,CC,108818,3.73E-06,4109549.15,14853.07102
CC-016,RICHMOND,CONTRA COSTA,CC,289246,1.26E-06,8202508.399,45063.5289
CC-017,SAN PABLO,CONTRA COSTA,CC,166905,1.72E-06,4913681.179,21797.49491
CC-018,SAN RAMON,CONTRA COSTA,CC,121487,3.13E-06,4621029.777,16034.0422
CC-019,WALNUT CREEK,CONTRA COSTA,CC,200566,2.08E-06,7486446.84,26493.54876
MRN-001,BELVEDERE,MARIN,MRN,15835,2.77E-05,404084.1974,2571.208125
MRN-002,CORTE MADERA,MARIN,MRN,56729,8.12E-06,1684146.725,9435.946963
MRN-003,FAIRFAX,MARIN,MRN,30611,2.02E-05,916969.2019,4429.302388
MRN-004,LARKSPUR,MARIN,MRN,58037,8.79E-06,1693837.74,9813.864772
MRN-005,MILL VALLEY,MARIN,MRN,57022,1.12E-05,1493820.767,8560.982346
MRN-006,NOVATO,MARIN,MRN,67451,6.68E-06,2230342.458,10519.3715
MRN-007,ROSS,MARIN,MRN,58476,1.05E-05,1720331.816,8836.25731
MRN-008,SAN ANSELMO,MARIN,MRN,28203,1.95E-05,879966.7652,4128.684184
MRN-009,SAN RAFAEL,MARIN,MRN,113379,4.49E-06,3618450.152,18425.81596
MRN-010,SAUSALITO,MARIN,MRN,11986,4.69E-05,305535.7249,1826.491608
MRN-011,TIBURON,MARIN,MRN,45389,1.11E-05,1219957.741,7429.647069
NAP-001,AMERICAN CANYON,NAPA,NAP,54233,5.44E-06,1767198.121,8579.451749
NAP-002,CALISTOGA,NAPA,NAP,6278,7.44E-05,225030.2612,791.6665982
NAP-003,NAPA,NAPA,NAP,91221,4.50E-06,3227863.627,12261.94151
NAP-004,ST HELENA,NAPA,NAP,8167,5.59E-05,291820.1012,965.6116306
NAP-005,YOUNTVILLE,NAPA,NAP,3470,0.000147583,114104.3047,764.8276586
SCL-001,CAMPBELL,SANTA CLARA,SCL,209255,1.59E-06,5864443.512,31164.71418
SCL-002,CUPERTINO,SANTA CLARA,SCL,264632,2.16E-06,8682476.772,42354.12957
SCL-003,GILROY,SANTA CLARA,SCL,58812,7.72E-06,1819690.196,12284.65209
SCL-004,LOS ALTOS,SANTA CLARA,SCL,161540,2.02E-06,5285220.859,28237.21704
SCL-005,LOS ALTOS HILLS,SANTA CLARA,SCL,90642,4.30E-06,2839896.675,13197.2486
SCL-006,LOS GATOS,SANTA CLARA,SCL,152905,3.24E-06,4483428.357,25444.89047
SCL-007,MILPITAS,SANTA CLARA,SCL,199872,2.03E-06,4914814.638,34664.24767
SCL-008,MONTE SERENO,SANTA CLARA,SCL,60374,6.65E-06,2079289.42,8084.0367
SCL-009,MORGAN HILL,SANTA CLARA,SCL,47976,6.04E-06,1667156.19,7121.519827
SCL-010,MOUNTAIN VIEW,SANTA CLARA,SCL,168962,3.22E-06,4028660.87,32312.85603
SCL-011,PALO ALTO,SANTA CLARA,SCL,201138,2.85E-06,6034684.488,30337.84729
SCL-012,SAN JOSE,SANTA CLARA,SCL,1224806,3.31E-07,41389050.18,155719.0778
SCL-013,SANTA CLARA,SANTA CLARA,SCL,420825,9.61E-07,11830250.43,73612.51392
SCL-014,SARATOGA,SANTA CLARA,SCL,222844,2.72E-06,5648163.242,43501.49557
SCL-015,SUNNYVALE,SANTA CLARA,SCL,341582,1.94E-06,10009221.56,61178.53823
SF-001,SAN FRANCISCO,SAN FRANCISCO,SF,910648,3.44E-07,28621232.64,149914.8059
SM-001,ATHERTON,SAN MATEO,SM,116916,3.71E-06,3425936.226,23631.53274
SM-002,BELMONT,SAN MATEO,SM,95349,4.49E-06,2920353.012,12990.50785
SM-003,BRISBANE,SAN MATEO,SM,112157,3.25E-06,3772980.782,14854.09316
SM-004,BURLINGAME,SAN MATEO,SM,128695,2.23E-06,4246868.246,18443.07389
SM-005,COLMA,SAN MATEO,SM,143937,4.49E-06,4134165.636,20924.56617
SM-006,DALY CITY,SAN MATEO,SM,275220,1.30E-06,8706619.715,40757.88189
SM-007,EAST PALO ALTO,SAN MATEO,SM,99849,4.06E-06,3158735.818,13054.8919
SM-008,FOSTER CITY,SAN MATEO,SM,73518,5.51E-06,2528576.744,9930.546334
SM-009,HALF MOON BAY,SAN MATEO,SM,18093,2.49E-05,661294.26,2785.56166
SM-010,HILLSBOROUGH,SAN MATEO,SM,123918,4.01E-06,4081553.093,16378.93538
SM-011,MENLO PARK,SAN MATEO,SM,146253,3.55E-06,4613435.23,19951.83148
SM-012,MILLBRAE,SAN MATEO,SM,62517,4.64E-06,2291294.576,10078.61901
SM-013,PACIFICA,SAN MATEO,SM,77196,6.34E-06,2466444.753,12640.94443
SM-014,PORTOLA VALLEY,SAN MATEO,SM,9272,3.55E-05,340400.1407,1212.229087
SM-015,REDWOOD CITY,SAN MATEO,SM,232574,1.64E-06,7886820.856,39175.11621
SM-016,SAN BRUNO,SAN MATEO,SM,159694,3.24E-06,4966136.516,26993.58545
SM-017,SAN CARLOS,SAN MATEO,SM,124761,2.66E-06,4550046.19,19859.24127
SM-018,SAN MATEO,SAN MATEO,SM,197361,1.60E-06,6642263.157,29771.48252
SM-019,SOUTH SAN FRANCISCO,SAN MATEO,SM,212596,2.28E-06,6611823.222,29044.2677
SM-020,WOODSIDE,SAN MATEO,SM,45847,7.20E-06,1619362.551,7470.332783
SOL-001,BENICIA,SOLANO,SOL,44371,7.32E-06,1505267.875,6533.170909
SOL-002,DIXON,SOLANO,SOL,19296,1.90E-05,707812.4295,3084.365106
SOL-003,FAIRFIELD,SOLANO,SOL,152459,1.97E-06,5759147.985,15041.41132
SOL-004,RIO VISTA,SOLANO,SOL,7639,3.56E-05,296091.0072,898.1580223
SOL-005,SUISUN CITY,SOLANO,SOL,81403,3.72E-06,3108727.417,7750.176123
SOL-006,VACAVILLE,SOLANO,SOL,106094,2.93E-06,4349012.422,14145.41647
SOL-007,VALLEJO,SOLANO,SOL,146216,2.21E-06,4672577.796,18942.94969
SON-001,CLOVERDALE,SONOMA,SON,10038,4.42E-05,340620.4264,1197.857497
SON-002,COTATI,SONOMA,SON,56656,6.64E-06,2100993.333,6085.798686
SON-003,HEALDSBURG,SONOMA,SON,14892,3.00E-05,529589.1034,1531.277495
SON-004,PETALUMA,SONOMA,SON,65213,5.50E-06,2449049.272,6975.82235
SON-005,ROHNERT PARK,SONOMA,SON,53782,6.99E-06,2005483.32,8715.025614
SON-006,SANTA ROSA,SONOMA,SON,216935,1.91E-06,7790996.953,36143.85078
SON-007,SEBASTOPOL,SONOMA,SON,13412,3.60E-05,449335.8555,1841.812811
SON-008,SONOMA,SONOMA,SON,32952,1.32E-05,1217363.144,4778.155002
SON-009,WINDSOR,SONOMA,SON,38460,1.04E-05,1398633.333,4011.778638
